Frequency	Input	License	Tone	Description	Category	Tag	Updated
462.675000	467.67500		054 DPL	Fire Police	Jackson Township	Fire-Talk	2013-11-10
462.887500	467.88750	WPVZ924	365 DPL	East Campus - Swiftwater Intermediate	Pocono Mountain School District	Schools	2014-11-06
462.950000	467.95000	WQRV848	186.2 PL	Eastern PA Med Com Med-9	EMS	Hospital	2022-01-11
462.975000	467.97500	WQRV848	186.2 PL	Eastern PA Med Com Med-10	EMS	Hospital	2022-01-11
463.050000		WQRV848	192.8 PL	Eastern PA Med Com Med-3	EMS	EMS-Talk	2022-01-11
463.212500	468.21250	WQXN590		St. Luke's Security/Maintenance	St. Lukes Hospital - Monroe	Security	2023-06-03
463.225000				Site 012 Tannersville	Industrial Electronics (264)	TRS	2017-05-12
463.250000				Site 001 Primary	Mount Airy Casino Resort	TRS	2014-02-05
463.287500	468.28750	WPVX567	654 DPL	Locust Ridge - Security	Residential Communities	Security	2009-12-07
463.287500	468.28750		654 DPL	Locust Lake Village - Security	Residential Communities	Security	2014-07-16
463.300000				Site 001 Stroudsburg	Industrial Electronics (Tannersville)	TRS	2014-12-03
463.325000				Site 001 Confirmed LCN	Industrial Electronics (Blakeslee)	TRS	2012-04-16
463.325000				Site 029 Blakeslee	Industrial Electronics (264)	TRS	2017-04-20
463.350000		WQAW315	223 DPL	Morey Elementary	Stroudsburg Area School District	Schools	2023-06-03
463.362500				Site 001 Confirmed LCN	Pocono Mountain School District	TRS	2014-09-09
463.375000		WNHJ223	723 DPL	Parking Ops	Pocono Raceway	Business	2017-06-12
463.462500				Site 001 Confirmed LCN	Pocono Mountain School District	TRS	2014-09-09
463.550000	468.55000		023 DPL	Fire Teams	Pocono Raceway	Fire-Tac	2017-06-12
463.587500		WPVZ924	115 DPL	Clear Run Centers	Pocono Mountain School District	Schools	2014-02-14
463.600000	468.60000	WPTC980	654 DPL	A Pocono Country Place - Maintenance	Residential Communities	Business	2014-02-14
463.612500				Site 001 Confirmed LCN	East Stroudsburg University	TRS	2015-03-05
463.625000			82.5 PL	WGM Transportation (Taxi in East Stroudsburg)	Transportation	Transportation	2009-02-13
463.650000	468.65000	WNHJ223	100.0 PL	Shuttles/ADA Carts	Pocono Raceway	Business	2017-06-12
463.662500				Site 002 Unconfirmed LCN	East Stroudsburg University	TRS	2015-03-05
463.675000				Site 002 Unconfirmed LCN	Industrial Electronics (Blakeslee)	TRS	2010-05-30
463.675000				Site 029 Blakeslee	Industrial Electronics (264)	TRS	2017-04-20
463.725000		WPMT607	88.5 PL	Roads Department	Smithfield Township	Public Works	2018-03-07
463.737500				Site 003 Tannersville	TuWAY Communications	TRS	2018-07-25
463.750000			203.5 PL	Ch 3 Ski School	Shawnee Mountain Ski Area	Business	2025-12-22
463.825000	468.82500	WPWR662	156 DPL	Saylorsburg Repeater	Blue Ridge Hook and Ladder Fire Co	Fire-Tac	2026-03-03
463.875000				Site 024 Tannersville	Mid-Atlantic Digital Radio Network	TRS	2019-01-03
463.887500				Site 001 Easton Site	Industrial Communications (Monroe)	TRS	2013-03-10
463.900000	468.90000	WNHJ223	423 DPL	Guest Services	Pocono Raceway	Business	2017-06-12
463.912500				Site 001 Easton Site	Industrial Communications (Monroe)	TRS	2013-03-10
464.000000	469.00000	WPMW990	261 DPL	Lake Naomi Club Ch.1 - Security	Residential Communities	Business	2014-07-16
464.037500				Site 029 Blakeslee	Industrial Electronics (264)	TRS	2017-04-20
464.100000	469.10000	WPJU411	131.8 PL	EMS - LVHN West End (Private)	EMS	EMS-Talk	2023-06-03
464.100000	469.10000	WPJU411	131.8 PL	EMS West End	Lehigh Valley Health Network	EMS Dispatch	2024-10-22
464.175000				Site 001 Stroudsburg	Industrial Electronics (Tannersville)	TRS	2014-12-03
464.187500				Site 023 Stroudsburg	Industrial Electronics (264)	TRS	2017-05-11
464.337500	469.33750	WQXN590		St. Luke's Operations	St. Lukes Hospital - Monroe	Business	2017-01-01
464.425000	469.42500	WNHJ223	192.8 PL	Tower Ch. 1 - Operations/Year Round Events	Pocono Raceway	Business	2017-06-12
464.500000			77.0 PL	Holiday Inn Express Stroudsburg	Hotels	Business	2019-09-18
464.500000			94.8 PL	West End Fair - Gilbert	Miscellaneous	Business	2013-09-01
464.575000	469.57500	WQCK343	627 DPL	Transportation 1	East Stroudsburg School District	Schools	2024-10-22
464.600000	469.60000		631 DPL	NASCAR Control Link	Pocono Raceway	Business	2017-06-12
464.650000				Site 003 Tannersville	TuWAY Communications	TRS	2018-07-25
464.675000	469.67500	WPBK406	654 DPL	Locust Lake Village - Operations	Residential Communities	Business	2014-07-16
464.675000	469.67500	WQCK343	110.9 PL	Transportation 2	East Stroudsburg School District	Schools	2024-10-22
464.700000	469.70000	WNUL869	065 DPL	Transportation	Pleasant Valley School District	Schools	2013-01-13
464.700000	469.70000	WNUL869	114 DPL	Security	Pleasant Valley School District	Security	2014-10-25
464.737500		WPUI784	125 DPL	Grounds	Pleasant Valley School District	Schools	2013-05-16
464.775000	469.77500		032 DPL	Tower - Race Control	Pocono Raceway	Business	2017-08-23
464.775000		WNNI728	110.9 PL	Operations	East Stroudsburg School District	Schools	2024-10-22
464.775000	469.77500		412 DPL	Jack Frost Ski Resort	Miscellaneous	Business	2009-08-26
464.875000	469.87500	KNHQ339	203.5 PL	Ch 1 Ski Patrol / Top Shack	Shawnee Mountain Ski Area	Business	2025-12-22
464.887500				Site 012 Tannersville	Industrial Electronics (264)	TRS	2017-05-12
464.950000				Site 023 Stroudsburg	Industrial Electronics (264)	TRS	2017-05-11
464.962500				Site 029 Blakeslee	Industrial Electronics (264)	TRS	2017-04-20
464.975000		KNHQ339	203.5 PL	Ch 2 Security	Shawnee Mountain Ski Area	Business	2025-12-22
467.762500			110.9 PL	Cars on Course COC1 - Event Flaggers	Pocono Raceway	Business	2025-05-13
467.762500			88.5 PL	Cramers Store - Pocono Summit	Retail Operations	Business	2013-12-14
467.762500				Shirley Futch Plaza - Maintenance 1	Senior Living	Business	2011-02-01
467.812500				Shirley Futch Plaza - Maintenance 2	Senior Living	Business	2011-02-01
467.850000		WPRH464	67.0 PL	High School Teachers/Custodians	Pleasant Valley School District	Schools	2015-04-05
467.900000				West End Fair Command - Link to 453.125	Miscellaneous	Business	2017-08-24
467.925000		WPRH464	67.0 PL	Middle School	Pleasant Valley School District	Schools	2015-02-08
468.637500		WQPV727	031 DPL	Kinsley Shoprite - Brodheadsville	Retail Operations	Business	2017-08-25
468.825000			103.5 PL	Indy Race Control	Pocono Raceway	Business	2017-08-23
468.900000		WNHJ223	186.2 PL	Parking Ops	Pocono Raceway	Business	2017-06-12
469.025000		WPRL468	025 DPL	Ceasars Pocono Resorts at Paradise Stream - Operations	Hotels	Business	2014-03-16
469.037500			047 DPL	Food Stands	Pocono Raceway	Business	2017-06-12
469.500000			065 DPL	Trexler Scout Reservation - Jonas	Miscellaneous	Business	2019-08-07
